Year,Region,Party,Alignment,Votes %,Votes N
2006,Drenthe,CU,Centre,5.12,15840
2006,Drenthe,GL,Left-Wing,3.79,11739
2006,Drenthe,SGP,Right-Wing,0.34,1047
2006,Drenthe,PvdD,Left-Wing,1.41,4373
2006,Drenthe,50PLUS,Centre,NA,NA
2010,Drenthe,VVD,Centre-Right,19.19,55630
2010,Drenthe,PvdA,Centre-Left,26.17,75850
2010,Drenthe,PVV,Right-Wing,13.04,37807
2010,Drenthe,SP,Left-Wing,9.8,28400
2010,Drenthe,CDA,Centre,13.83,40079
2010,Drenthe,D66,Centre,5.19,15036
2010,Drenthe,CU,Centre,4.32,12523
2010,Drenthe,GL,Left-Wing,5.86,16992
2010,Drenthe,SGP,Right-Wing,0.46,1340
2010,Drenthe,PvdD,Left-Wing,1.09,3162
2010,Drenthe,50PLUS,Centre,NA,NA
2012,Drenthe,VVD,Centre-Right,23.7,69382
2012,Drenthe,PvdA,Centre-Left,32.77,95938
2012,Drenthe,PVV,Right-Wing,8.27,24212
2012,Drenthe,SP,Left-Wing,9.12,26696
2012,Drenthe,CDA,Centre,9.75,28551
2012,Drenthe,D66,Centre,5.86,17162
2012,Drenthe,CU,Centre,4.24,12410
2012,Drenthe,GL,Left-Wing,1.83,5352
2012,Drenthe,SGP,Right-Wing,0.68,2000
2012,Drenthe,PvdD,Left-Wing,1.5,4389
2012,Drenthe,50PLUS,Centre,1.35,3962
1994,Overijssel,VVD,Centre-Right,15.41,99222
1994,Overijssel,PvdA,Centre-Left,24.17,155579
1994,Overijssel,PVV,Right-Wing,NA,NA
1994,Overijssel,SP,Left-Wing,0.78,4994
1994,Overijssel,CDA,Centre,29.62,190671
1994,Overijssel,D66,Centre,12.94,83312
1994,Overijssel,CU,Centre,NA,NA
1994,Overijssel,GL,Left-Wing,2.54,16330
1994,Overijssel,SGP,Right-Wing,2.15,13818
1994,Overijssel,PvdD,Left-Wing,NA,NA
1994,Overijssel,50PLUS,Centre,NA,NA
1998,Overijssel,VVD,Centre-Right,18.71,116610
1998,Overijssel,PvdA,Centre-Left,29.03,180974
1998,Overijssel,PVV,Right-Wing,NA,NA
1998,Overijssel,SP,Left-Wing,2.56,15966
1998,Overijssel,CDA,Centre,26.74,166671
1998,Overijssel,D66,Centre,6.63,41311
1998,Overijssel,CU,Centre,NA,NA
1998,Overijssel,GL,Left-Wing,5.62,35017
1998,Overijssel,SGP,Right-Wing,2.26,14077
1998,Overijssel,PvdD,Left-Wing,NA,NA
1998,Overijssel,50PLUS,Centre,NA,NA
2002,Overijssel,VVD,Centre-Right,12.11,80424
2002,Overijssel,PvdA,Centre-Left,15.73,104501
2002,Overijssel,PVV,Right-Wing,NA,NA
2002,Overijssel,SP,Left-Wing,4.71,31321
2002,Overijssel,CDA,Centre,36.93,245316
2002,Overijssel,D66,Centre,4.08,27086
2002,Overijssel,CU,Centre,5.21,34606
2002,Overijssel,GL,Left-Wing,5.9,39197
2002,Overijssel,SGP,Right-Wing,2.38,15834
2002,Overijssel,PvdD,Left-Wing,NA,NA
2002,Overijssel,50PLUS,Centre,NA,NA
2003,Overijssel,VVD,Centre-Right,13.49,92231
2003,Overijssel,PvdA,Centre-Left,27.28,186612
2003,Overijssel,PVV,Right-Wing,NA,NA
2003,Overijssel,SP,Left-Wing,4.93,33713
2003,Overijssel,CDA,Centre,36.57,250104
2003,Overijssel,D66,Centre,3.02,20678
2003,Overijssel,CU,Centre,4.36,29833
2003,Overijssel,GL,Left-Wing,4.17,28532
2003,Overijssel,SGP,Right-Wing,2.21,15149
2003,Overijssel,PvdD,Left-Wing,NA,NA
2003,Overijssel,50PLUS,Centre,NA,NA
2006,Overijssel,VVD,Centre-Right,11.08,76650
2006,Overijssel,PvdA,Centre-Left,21.09,145957
2006,Overijssel,PVV,Right-Wing,4.02,27822
2006,Overijssel,SP,Left-Wing,14.82,102546
2006,Overijssel,CDA,Centre,33,228358
2006,Overijssel,D66,Centre,1.62,11238
2006,Overijssel,CU,Centre,6.93,47960
2006,Overijssel,GL,Left-Wing,3.43,23715
2006,Overijssel,SGP,Right-Wing,2.23,15404
2006,Overijssel,PvdD,Left-Wing,1.09,7511
2006,Overijssel,50PLUS,Centre,NA,NA
2010,Overijssel,VVD,Centre-Right,16.85,109685
2010,Overijssel,PvdA,Centre-Left,19.12,124432
2010,Overijssel,PVV,Right-Wing,12.56,81775
2010,Overijssel,SP,Left-Wing,9.29,60448
2010,Overijssel,CDA,Centre,20.38,132669
2010,Overijssel,D66,Centre,5.86,38171
2010,Overijssel,CU,Centre,6.18,40248
2010,Overijssel,GL,Left-Wing,5.36,34887
2010,Overijssel,SGP,Right-Wing,2.51,16337
2010,Overijssel,PvdD,Left-Wing,0.87,5664
2010,Overijssel,50PLUS,Centre,NA,NA
2012,Overijssel,VVD,Centre-Right,23.06,151354
2012,Overijssel,PvdA,Centre-Left,24.66,161862
2012,Overijssel,PVV,Right-Wing,8.14,53434
2012,Overijssel,SP,Left-Wing,9.33,61267
2012,Overijssel,CDA,Centre,13.67,89760
2012,Overijssel,D66,Centre,6.57,43152
2012,Overijssel,CU,Centre,6.16,40419
2012,Overijssel,GL,Left-Wing,1.74,11451
2012,Overijssel,SGP,Right-Wing,3.01,19761
2012,Overijssel,PvdD,Left-Wing,1.3,8534
2012,Overijssel,50PLUS,Centre,1.49,9780
1994,Gelderland,VVD,Centre-Right,18.27,205673
1994,Gelderland,PvdA,Centre-Left,23.81,267997
1994,Gelderland,PVV,Right-Wing,NA,NA
1994,Gelderland,SP,Left-Wing,1.01,11420
1994,Gelderland,CDA,Centre,24.75,278586
1994,Gelderland,D66,Centre,15.27,171850
1994,Gelderland,CU,Centre,NA,NA
1994,Gelderland,GL,Left-Wing,3.31,37244
1994,Gelderland,SGP,Right-Wing,3.17,35647
1994,Gelderland,PvdD,Left-Wing,NA,NA
1994,Gelderland,50PLUS,Centre,NA,NA
1998,Gelderland,VVD,Centre-Right,22.98,249891
1998,Gelderland,PvdA,Centre-Left,29.05,315803
1998,Gelderland,PVV,Right-Wing,NA,NA
1998,Gelderland,SP,Left-Wing,2.87,31164
1998,Gelderland,CDA,Centre,20.44,222216
1998,Gelderland,D66,Centre,8.15,88589
